id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
223	bhān	ma				CV-M		MG, LJ, GJ, SB, RC	v	гл	<*hear (to)>			22/Jan/2011						
224	bhān	ma				CV-M	BoundedEvent Physical Quantity Time	LJ, DJ, LP	v	гл	<*ripen (to)>			22/Jan/2011						
225	bhān	ma						LJ, SB	pron	л.мест				03/Dec/2008	1SG.AUT	1SG.AUT	1SG.AUT			
226	bhān	ma						EF, LJ	pron	л.мест	<*n̄ ɓȁ>	<*n̄ ɓȁ>	<*n̄ ɓȁ>	29/Nov/2008	1SG.POSS	1SG.POSS	1SG.POSS			
227	bhán	'ma						LJ, EF, GJ	pron	л.мест				29/Nov/2008	1SG.PRF	1SG.PRF	1SG.PRF			
228	bhán	'ma												24/Oct/2008						
229	bhân	'ma-		má + ȁ	a			LJ	pron	л.мест	<*má ȁ>	<*má ȁ>	<*má ȁ>	14/Dec/2008				стяжённая форма: субъектное перфектное местоимение 1 л. ед.ч. + несубъектное местоимение 3	a contractive form: perfect subject 1 sg. pronoun + non-subject 3 sg. pronoun	
230	bhȁnkún	-makun	[-ma 'kun]					LJ	v	гл				22/Jan/2011						
231	bhȁnwȕn	-mawun												28/Jul/2008						
232	bhānzīgā	maziga	[ma zi ga]				Cookery Comestible	KB	n	сущ				29/Nov/2008						
233	bhàŋ	=bhang					Artifact Object Instrument Music	LJ	n	сущ	<*drum-2>			28/Jul/2008	drum	tambour	барабан			
234	bhàŋ̄	=bhang'							n	сущ				25/Nov/2008						
235	bhàŋbhá	=bhangbha	[=bhang 'bha]			CV÷-CV		LJ	v	гл				22/Jan/2011						
236	bháŋgló	'mangglo	['mang -gö]				Natural Object Comestible	LJ	n	сущ	<*mango>			22/Aug/2007						
237	bhȁŋgɤ̏	-bhanggö	[-bhang -gö]				Natural Object Comestible	LJ	n	сущ	<*papaya>			25/Nov/2008	papaya	papaye	папайя			
238	bhàŋ̄zʌ̏{dhȕ}n	=bhangzë {-nu}	[=bhang' -zë -nu]	ɓàŋ̄ + zʌ̏ +nȕ				BE, LJ						07/Apr/2009				мн. ч. от	plural of	pl de
239	bhȁwȕn	-bhawun	[-ma -wun]				UnboundedEvent Experience Mental Modal	LJ	n	сущ				23/Jan/2011						
240	bházʌ̏	'bhazë	['bha -zë]					LJ, Luc 23:12	adj	прил	<camarade d'age-ADJ>			10/Jan/2009						
241	bházʌ̏	'bhazë	['bha -zë]					LJ						01/Oct/2008				мн.ч. от	pl. for	pl. de
242	bhɒ̀ɒ̄	=bhaɔ'			ɒɒ		Reptile	LJ, BE, GA, DJ	n	сущ				28/Jul/2008	turtle	tortue	черепаха			
243	bhɒ̄ɒ	bhaɔ			ɒɒ		Living Part		n	сущ				22/Jan/2011						
244	bhɒ́ɒdhɤ̄	'bhaɔdhö	['bhaɔ dhö]		ɒɒ			LJ	adv	нар				22/Jan/2011						
245	bhɒ́ɒ-dhȕn	'bhaɔ -nu			ɒɒ									01/Oct/2008				мн.ч. от	pl. for	pl. de
246	bhɒ̄ɒgā	bhaɔga	[bhaɔ ga]		ɒɒ		Object Medicine		n	сущ				22/Jan/2011						
247	bhɒ́ɒŋ̏	'bhaɔng-			ɒɒ ~ ɒ		Animal	MB	n	сущ	<*squirrel-5>			06/Dec/2008						
248	bhɒ́ɒŋ̏{zʌ̏}-dhȕn	'bhaɔng- {-zë} -nu			ɒɒ									28/Nov/2008				мн.ч. от	pl. for	pl. de
249	bhæ̏æ	-bhɛa			ɛa			LJ	adj	прил				22/Jan/2011						
250	bhæ̀æ	=bhɛa'-			ɛa ~ ea	CVV-LNAF		LJ	v	гл	<*beg>			22/Jan/2011						
251	bhæ̏æn	-mɛa			ɛ̰a̰		Natural	LJ	n	сущ				25/Oct/2008						
252	bhæ̏ængā	-mɛagā	[-mɛa gā]		ɛ̰a̰		Natural	LJ	n	сущ				25/Oct/2008						
253	bhʌ̄	bhë						MG, LJ, GJ	adv	нар				28/Nov/2008	there	là	там			
254	bhʌ̄	bhë						MG, LJ, GJ	dtm	дтм				02/Dec/2008	ART	ART	ART	определённый арти\кль; ставится после именной группы, требует повтора местоимения	definite article, follows the noun group, requires a pronominal repeat	
255	bhʌ́ʌ	'bhëë			ʌʌ									22/Aug/2007						
256	bhʌ̄ʌn yɔ̏n	mëë -yɔn			ʌ̰ʌ̰			DJ, --LJ	n	сущ										
257	bhʌ̏bhɛ̄npíɤdhē	-mëmɛpiödhe	[-më mɛ 'piö dhe]					LJ	n	сущ				25/Oct/2008						
258	bhʌ̏n	-më						MG, SB, --LJ	n					30/Nov/2008						
259	bhʌ́n	'më						LJ, GJ, SB	adv	нар				25/Oct/2008						
260	bhʌ́n	'më				CV-H			v	гл				22/Jan/2011						
261	bhʌ̄ŋ	mëng												22/Aug/2007						
262	bhʌ́ŋ	'mëng					Plant / Natural Object Comestible	LJ	n	сущ				07/Oct/2000						
263	bhē	bhe					Magics	LJ, LP	n	сущ				29/Nov/2008						
264	bhé	'bhe												28/Jul/2008						
265	bhèā	=bhea' -sü			ea ~ ɛa									22/Aug/2007						
266	bhéȉ	'bhei-			ei ~ ee			LJ	adj	прил				30/Jan/2011	alive	vivant	живой			(la deuxième forme s'emploie uniquement à propos des humains)
267	bhéȉzʌ̏	'bheizë	['bhei- -zë]					LJ	adj	прил	<vivant->			30/Jan/2011						
268	bhēŋ	bheng					Bird	LP	n	сущ				28/Jul/2008						
269	bhɛ̄	bhɛ					Natural Object	LJ, GJ, BE	n	сущ	<*fruit>			22/Jan/2011	fruit	fruit	фрукт			
270	bhɛ́bhán	'bhɛma	['bhɛ 'maa]				Human	LJ	n	сущ	<*ancestor>			22/Jan/2011	ancestor	ancêtre	предок			
271	bhɛ́ɛbhɛ̏	'bhɛɛbhɛ	['bhɛɛ -bhɛ]		ɛɛ			LJ	adj	прил				22/Jan/2011						
272	bhɛ̏ɛn	-mɛɛ			ɛ̰ɛ̰		BoundedEvent Communication Purpose	SB, LJ	n	сущ				23/Jan/2011						
273	bhɛ̀ɛn	=mɛɛ			ɛ̰ḭŋ (wa)		Reptile	LJ(wa)	n	сущ	<*snake-2>			25/Oct/2008						
274	bhɛ̀ɛn	=mɛɛ'-			ɛ̰ɛ̰	CVV-LNAF			v	гл				22/Jan/2011						
275	bhɛ̄ɛn	mɛɛ			ɛ̰ɛ̰			DJ, LJ	adv	нар				07/Dec/2008						
276	bhɛ̄ɛn	mɛɛ-			ɛ̰ɛ̰		Human Group Magic	LJ	n	сущ				25/Oct/2008						
277	bhɛ̏ɛnzʌ̏	-mɛɛzë	[-mɛɛ -zë]					LJ	adj	прил	<parent->			30/Nov/2008						
278	bhɛ̄gɯ́dhɛ̏	bhɛgüdhɛ	[bhɛ 'gü -dhɛ]				Living Part	LJ	n	сущ				28/Nov/2008						
279	bhɛ́i	'bhɛi			ɛi		Artifact Object Garment		n	сущ	<*gown-2>			28/Jul/2008	shirt	chemise	рубаха			
280	bhɛ́lɛ́bhɛ̏lɛ̏	'bhɛlɛbhɛlɛ												28/Nov/2008						
281	bhɛ̏n	-mɛ							n	сущ				30/Nov/2008						
282	-bhɛ̏n	-mɛ						LJ, DJ, GJ, BE, MG	mrph	мрф				30/Nov/2008	M.AG	M.AG	M.AG			
283	bhɛ̄n	mɛ					Human	MG, LJ, DJ, BE, GA, GJ, CE	n	сущ	<*human>			30/Nov/2008						
284	bhɛ̄n	mɛ						LJ, GJ	n	сущ				30/Nov/2008						
285	bhɛ̄n tīi sɛ̏	mɛ tii -sɛ						LJ	n	сущ										
286	bhɛ̄nsʌ̏	mɛsë	[mɛ -së]				Human Relation Condition	GJ, DJ	n	сущ	<?-joli>			07/Dec/2008						
287	bhɛ̄ŋ	mɛng												25/Oct/2008						
288	bhī	bhi						LJ, SB	pron	л.мест				01/Oct/2008	2SG.AUT	2SG.AUT	2SG.AUT			
289	bhī	bhi												28/Jul/2008						
290	bhían	'mia			ḭa̰			LP	n	сущ				07/Oct/2000						
291	bhīɒŋ	bhiaɔng			iɔŋ			SB	n	сущ				27/Feb/2010						
292	bhīɒŋ	bhiaɔng			iɒŋ		Plant	MB?, --LJ	n	сущ				30/Jan/2011						
293	bhīɒŋgā	bhiaɔngga	[bhiaɔng ga]				Plant	LJ	n	сущ				30/Jan/2011						
294	bhìʌ̄n	=mië'			ḭʌ̰		Artifact Object	BE, GA, LJ	n	сущ				25/Oct/2008						
295	bhīdhīntɤ̄	minitö	[mi ni tö]					LJ	n	сущ				22/Aug/2007						
296	bhīi	bhii			ii			DJ, RC, LJ	cnj	союз				01/Oct/2008						
297	bhìibhín	=miimi	[=mii 'mi]		ḭḭ			OD, LJ	v	гл	<*shake>			22/Jan/2011						
298	bhīin yɔ̏n	mii -yɔn			ḭḭ		Plant	LJ	n	сущ				04/Jun/2010						
299	bhīingā	miiga												25/Oct/2008						
300	bhīiŋ	miing												25/Oct/2008						
301	bhīn	mi					Human	SB, LJ	n	сущ				30/Nov/2008						
302	bhȉŋ	-bhing					Artifact Object		n	сущ				06/Dec/2008						
303	bhīŋ	bhing					Group	LJ	n	сущ				25/Nov/2008						
304	bhīŋ	ming					Artifact Object Instrument	LJ	n	сущ				23/Jan/2011						
305	bhíŋ	'ming						LJ	n	сущ				30/Nov/2008						
306	bhīŋbhiŋdhɤ	bhingbhingdhö	[bhing bhing dhö]					LJ	adv	нар				06/Dec/2008						
307	bhīŋgā	mingga	[ming ga]				Artifact Object Instrument	DJ, LJ	n	сущ				03/Dec/2008						
308	bhīɤ̏fǽædʌ̄	bhiöfɛadë	[bhiö- 'fɛa dë]		ɛa		Animal	LJ	n	сущ				30/Jan/2011						
309	bhlȁ	-bhla				CLV-AF		MG, LJ, DJ	v	гл				22/Jan/2011	swell	s'enfler	раздуваться			
310	bhlȁ	-bhla				CLV-AF		LJ	v	гл				22/Jan/2011						
311	bhlà	=bhla				CLV		GJ, LJ	n	сущ										
312	bhlá	'bhla			aa	CLVV ~ CLV	Animal	LJ	n	сущ	<*sheep-1>			25/Nov/2008	sheep	mouton	овца			
313	bhlāȁ	bhlaa-			aa	CLVV	Bird	LJ	n	сущ				30/Jan/2011						
314	bhláa	'bhlaa												22/Aug/2007						
315	bhláabhlȁ	'bhlaabhla	['bhlaa -bhla]		aa	CLVV		LJ	adj	прил				22/Jan/2011						
316	bhlʌ̀	=bhlë				CLV		CE, LJ	n	сущ				23/Jan/2011	respect	respect	уважение			
317	bhlʌ́	'bhlë				CLV	Insect Cookery Comestible	BE, GJ, LJ	n	сущ	<*termite (flying, ephemera)-1>			28/Jul/2008	termite	termite	термит			
318	bhlʌ̀kʌ̄pʌ̏	=bhlëkëpë	[=bhlë kë -pë]			CLV	Relation Communication Purpose Possession Social	LJ	n	сущ	<honneur-faire-chose>			22/Jan/2011						
319	bhlʌ̀kpɔ́dhē	=bhlëkpɔdhe	[=bhlë 'kpɔ dhe]						n	сущ				22/Jan/2011						
320	bhlʌ̀ŋ	=bhlëng'-				CLV÷	Natural Place	LJ	n	сущ				25/Nov/2008						
321	bhlʌ̀zʌ̏	=bhlëzë	[=bhlë -zë]			CLV			adj	прил				29/Jan/2009						
322	bhlé	'bhle				CLV		LJ	restr	рестр				28/Jul/2008	a.little	un.peu	немного			
323	bhlɛ́ɛbhlɛ̏	'bhlɛɛbhlɛ	['bhlɛɛ -bhlɛ]		ɛɛ	CLVV CLV		DJ, LJ	adj	прил	<jula>			10/Jan/2009						
324	bhlɛ̀ȉ	=bhlɛi-			ɛi	CLVV	Plant	LJ	n	сущ				14/Dec/1999						
325	bhlɛ́ŋbhlɛ̏ŋ	'bhlɛngbhlɛng	['bhlɛng -bhlɛng]			CLV÷		LJ	adj	прил				22/Jan/2011						
326	bhlō	bhlo				CLV	Plant Comestible	LJ	n	сущ	<mushroom (sp.)-2>			22/Jan/2011						
327	bhlòo	=bhloo'-			oo	CLVV-LNAF	BoundedEvent Agentive Location Physical	BE, MG, LJ	v	гл	<*press-2 (to)>			22/Jan/2011						
328	bhlɔ̄	bhlɔ				CLV		LJ	n	сущ				28/Nov/2008						
329	bhlɔ̂bhlɔ	'bhlɔbhlɔ	['bhlɔ- bhlɔ-]			CLV CLV		DJ, LJ	n	сущ				22/Jan/2011						
330	bhlɔ̏lɯ̏	-bhlɔlü	[-bhlɔ -lü]			CLV	Plant	LP	n	сущ				28/Jul/2008						
331	bhlɤ	bhlö-				CLV		SB, RC	loc.n	лок.сущ				28/Jul/2008	field.LOC	champ.LOC	поле.LOC			
332	bhlɤdhɛ̏	bhlödhɛ	[bhlö- -dhɛ]			CLV	Object Place	GJ	n	сущ	<*field>			01/Oct/2008	field	champ	поле			
333	bhlɤ́ŋbhlɤ̏	'bhlöngbhlö	['bhlöng -bhlöng]			CLV÷ CLV		LJ	adj	прил				22/Jan/2011						
334	bhlɤ̀ɤ̏	=bhlöö-			ɤɤ	CLVV		LJ	loc.n	лок.сущ				28/Jul/2008	field.LOC	champ.LOC	поле.LOC			
335	bhlɤ̀ɤ̄gbȁa	=bhlöö' -gbaa			aa	CLVV	Artifact Object Building	LJ	n	сущ				22/Jan/2011						
336	bhlȕ	-bhlu				CLV		GA, GD	n	сущ				22/Jan/2011						
337	bhlú	'bhlu				CLV	Human Part	MB, MG, GA, MA, BE	n	сущ	<*liver-2>			28/Jul/2008	liver	foie	печень			
338	bhlúubhlȕzʌ̏	'bhluubhluzë	['bhluu -bhlu -zë]		uu	CLVV CLV		LJ	adj	прил				10/Jan/2009						
339	bhlɯ̀	=bhlü				CLV		LJ	n	сущ				23/Jan/2011	package	paquet	пакет			
340	bhnlā	mla				CLVÃ	Insect	LJ	n	сущ				30/Nov/2008						
341	bhnlàa	=mlaa			a̰a̰	CLVÃVÃ		LJ	n	сущ				23/Jan/2011						
342	bhnlàa gɔ̄ɔn	=mlaa gɔɔn-					Human Time	LJ	n	сущ				09/Oct/2000						
343	bhnlàȁbɔ̏	=mlaabɔ	[-mlaa -bɔ]				Human	OD, LJ	n	сущ				30/Nov/2008						
344	bhnlàabɔ̏ bhɛ̀ɛbhɛ̏n	=mlaabɔ =mɛɛmɛ	[=mlaa -bɔ =mɛɛ'- -mɛ]				Human	LJ	n	сущ				22/Aug/2007						
345	bhnlʌ̏	-mlë				CLVÃ		GJ, OD	adj?					16/Jun/2010						
346	bhnlʌ̀ʌ	=mlëë			ʌ̰ʌ̰	CLVÃVÃ	Living Part	GA, GD, LJ	n	сущ				30/Nov/2008						
347	bhnlʌ̀ʌ yùā	=mlëë =yua'					State Condition Manner Physical Medicine	GA, GD	n	сущ										
348	bhnlʌ̄ʌzʌ̏	mlëëzë	[mlëë -zë]		ʌ̰ʌ̰	CLVÃVÃ		LJ	adj	прил				30/Nov/2008						
349	bhnlɛ́ŋbhlɛ̏ŋ	'mlɛngmlɛng	['mling -mli]			CLVÃ÷ CLVÃ÷		LJ	adj	прил				30/Nov/2008						
350	bhnlìi	=mlii			ḭḭ	CLVÃVÃ	Plant	LP	n	сущ				09/Jan/2009						
351	bhnlɔ̏ɔ	-mlɔɔ			ɔ̰ɔ̰	CLVÃVÃ		GJ	n	сущ				14/Dec/2008						
352	bhnlɔ́ɔbhnlɔ̏	'mlɔɔmlɔ	['mlɔɔ -mlɔ]		ɔ̰ɔ̰	CLVÃVÃ CLVÃ		LJ	adj	прил				30/Nov/2008						
353	bhnlūʌ	mluë			ṵʌ̰	CLVÃVÃ			n	сущ				03/Dec/2008						
354	bhnlɯ̏	-mlü				CLVÃ	Plant Comestible	LJ, CE	n	сущ	<*rice-1>			25/Oct/2008						
355	bhȍ	-bho					Animal	BE, LJ, SB, CE, OD	n	сущ	<*goat-2>			28/Jul/2008	goat	cabri	коза			
356	bhō	bho				CV-M			v	гл				22/Jan/2011	remove	enlever	убирать			
357	bhóŋ	'bhong					Object Part Building	MB, LJ, DJ	n	сущ				22/Jan/2011						
358	bhōo	bhoo			oo			LJ, SB	itj	межд				01/Oct/2008						
359	bhòodhʌ́n	=bhoonë	[=bhoo 'në]		oo		Plant	--LJ	n	сущ				28/Jul/2008						
360	bhɔ̏	-bhɔ					Animal	LJ, SB	n	сущ	<*pig-1>			22/Jan/2011	pig	cochon	свинья			
361	bhɔ̄	bhɔ					Living Part	MG, GA, MA, GJ	n	сущ	<*neck-3>			22/Jan/2011	neck	cou	шея			
362	bhɔ̄	bhɔ				CV-M		LJ, GJ	v	гл	<*go out (to)>			23/Jan/2011	appear	apparaître	появляться			
363	bhɔ́	'bhɔ					Artifact Object Instrument	LJ	n	сущ				22/Jan/2011						
364	bhɔ̏adhʌ	-bhɔadhë	[-bhɔa -dhë]											22/Jan/2011						
365	bhɔ̏an	-mɔa												26/Oct/2008						
366	bhɔ̄an	mɔa-			ɔ̰a̰		Bird	CE, --LJ	n	сущ				17/Jun/2010						
367	bhɔ́ʌ̏	'bhɔë-			ɔʌ ~ uʌ									30/Jan/2011						
368	bhɔ́bhnlí	'mɔbhli	['mɔ 'bhli]				Artifact Object	LJ, GJ	n	сущ				12/Feb/2010						
369	bhɔ̏dhɛn	-mɔdhɛ						RC	n	сущ				26/Oct/2008						
370	bhɔ̏kúʌ̏	-bhɔkuë	[-bhɔ 'kuë-]		uʌ		Social Quantity Purpose	LJ	n	сущ				30/Jan/2011						
371	bhɔ̏n	-mɔ				CV-AF			v	гл	<*able, be>			22/Jan/2011	be.able	pouvoir	мочь			
372	bhɔ̏n	-mɔ				zaimCV-AF	BoundedEvent Physical Quantity Time	LJ, LP	v	гл	<jula>			22/Jan/2011						
373	bhɔ̏n	-mɔ					Animal	LJ, OD, YA, SE	n	сущ	<*mouse>			09/Jan/2009						
374	bhɔ́ntrʌ̏	'mɔtrë	['mɔ -trë]				Artifact Object	LJ	n	сущ	<Fr>			22/Aug/2007						
375	bhɔ̏ŋ	-bhɔng					Artifact Instrument Music	DJ, LJ	n	сущ				01/Oct/2008						
376	bhɔ̄ŋ	bhɔng					Insect	BE, LJ	n	сущ	<*bee (sp.)>			10/Jul/2008	bee	abeille	пчела			
377	bhɔ̄ŋ	bhɔng					Living Part	GJ	n	сущ				28/Jul/2008						
378	bhɔ́ŋ zɔ̏	'bhɔng -zɔ					Living Part	GA, KD	n	сущ										
379	bhɔ̄ŋdhɛ̏	bhɔngdhɛ	[bhɔng -dhɛ]				Living Part	DJ, MG, LJ	n	сущ				28/Jul/2008						
380	bhɔ̀ɔ̄	=bhɔɔ'			ɔɔ				n	сущ	<*bag-1>									
381	bhɔ̄ɔ̏	bhɔɔ-			ɔɔ		Animal		n	сущ				30/Jan/2011						
382	bhɔ́ɔ̏	'bhɔɔ-			ɔɔ		Plant	LJ	n	сущ				30/Jan/2011						
383	bhɔ̀ɔ̄bhɛ̏n	=bhɔɔmɛ	[=bhɔɔ' -mɛ]					LJ, SB	n	сущ	<richesse -suff of agent>			22/Aug/2007						
384	bhɔ́ɔ̏kpʌ̀	'bhɔɔkpë	['bhɔɔ- =kpë]		ɔɔ		Magics	LJ, MB	n	сущ				30/Jan/2011						
385	bhɔ́ɔ̂n	'mɔɔ-			ɔ̰ɔ̰			GJ	n	сущ										
386	bhɔ̀ɔ̄pʌ̏	=bhɔɔpë	[=bhɔɔ' -pë]				State Possession Social Usage	LJ, SB	n	сущ	<richesse -chose>			22/Aug/2007						
387	bhɔ̀ɔ̄zʌ̏	=bhɔɔzë	[=bhɔɔ' -zë]					LJ, RC	adj	прил	<richesse -suff>			10/Jan/2009						
388	bhɔ́ɔzɔ̏	'bhɔɔzɔ	['bhɔɔ -zɔ]		ɔɔ		Living Part	GA, LJ, MA	n	сущ				22/Jan/2011						
389	bhɤ̏	-bhö				CV-AF		LJ	v	гл	<*eat (to)-2>			22/Jan/2011	eat	manger	есть			
390	bhɤ̏	-bhö						EF, LJ	pron	л.мест				22/Jan/2011	2SG.IMP	2SG.IMP	2SG.IMP			
391	bhɤ̏pʌ̏	-bhöpë	[-bhö -pë]				Group Comestible Cookery	BE, LJ, GJ, SB, CE, OD	n	сущ				06/Dec/2008						
392	bhɤ̀ɯ̏	=bhöü-			ɤɯ		Reptile	YA, SE, CE, LJ, BE	n	сущ	<*viper>			22/Jan/2011						
393	bhɤ̀ɯ	=bhöü'-			ɤɯ	CVV-LNAF		LJ	v	гл	<*dry up>			22/Jan/2011	dry.up	tarir	высыхать			
394	bhɤ̏yíʌ	-bhöyië	[-bhö 'yië]				Cookery Comestible	DJ, LJ	n	сущ				28/Jul/2008						
395	bhȕaadhʌ	-bhuaadhë	[-bhɔa -dhë]		ɔa		Creature	DJ, LJ	n	сущ				28/Nov/2008						
396	bhúabhȕan	'muamua	['mua -mua]		ṵa̰			LJ	adj	прил				30/Jan/2009						
397	bhùān	=mua'			ṵa̰ ~ ɔ̰a̰									22/Aug/2007						
398	bhúʌ̏	'bhuë-			uʌ ~ ɔʌ		Human Part	DJ, LJ	n	сущ	<*beard>			30/Jan/2011						
399	bhūn	mu					Relation	LJ, GA	n	сущ				03/Dec/2008				присоед к названиям животных		
400	bhūŋbhuŋdhɤ	bhungbhungdhö						SB	adv	экс.нар				28/Jul/2008						
401	bhūȕ	bhuu-			uu		Object Place	LJ	n	сущ				30/Jan/2011						
402	bhúu	'bhuu			uu		Animal Mammal		n	сущ				22/Jan/2011						
403	bhūu gȁn	bhuu -gan			uu		Bird	LP	n	сущ										
404	bhūȕdhɤ̄	bhuudhö	[bhuu- dhö]					LJ, SB	loc.n	лок.сущ				30/Jan/2011						
405	bhūun	muu			ṵṵ		Natural	LJ	n	сущ				03/Dec/2008						
406	bhūȕn	muu-			ṵṵ			LJ	n	сущ				20/Jun/2010						
407	bhúun	'muu			ṵṵ		Natural	GJ, LP, LJ	n	сущ				05/Sep/2000						
408	bhɯ́	'bhü				CV-H		LJ, DJ, GJ, SB	n	сущ	<*shine>			28/Nov/2008						
409	bhɯ́	'bhü				CV-H		LJ, DJ, GJ, SB	v	гл	<*shine>			22/Jan/2011						
410	bhɯ́ʌŋbhɯ̏ʌŋ	'bhüëngbhüëng			ɯʌŋ									22/Aug/2007						
411	bhɯ̏n	-mü						LJ, GJ, SB	mrph	мрф				26/Oct/2008						
412	bhɯ̄n	mü						LJ, GJ, SB	adv	нар				11/Jul/2008						
413	bhɯ̄n	mü				CV-M			v	гл	<*drink (to)>			22/Jan/2011						
414	bhɯ̄ŋ	müng					Human	GJ, LJ	n	сущ				26/Oct/2008						
415	bhɯ̏ɤ	-bhüö			ɯɤ			LJ, GJ, DJ	n	сущ				01/Oct/2008						
416	bhɯ̏ɤ	-bhüö			ɯɤ		Animal	LJ, DJ, SB	n	сущ				22/Jan/2011						
417	bhɯ̀ɤ̄	=bhüö'			ɯɤ				n	сущ	<*rope>			22/Jan/2011						
418	bhɯ̄ɤ	bhüö			ɯɤ		Medicine	MG, BE, LJ, DJ	n	сущ	<*wound (a)-2>			23/Feb/2010						
419	bhɯ́ɤ	'bhüö			ɯɤ		Plant	KB, SB	n	сущ										
420	bhɯ́ɤ̏	'bhüö-			ɯɤ				n	сущ				30/Jan/2011						
421	bhɯ̀ɤ̄dhʌ́n	=bhüönë	[=bhüö' 'në]					KB, LJ	n	сущ				22/Jan/2011						
422	bhɯ́ɤdhȅ	'bhüödhe	['bhüö -dhe]		ɯɤ		Human	LJ	n	сущ				01/Oct/2008						
423	bhɯ̀ɤ̄gā	=bhüöga	[=bhüö' ga]				Artifact Object Instrument	LJ, KB, BE, DJ, GJ	n	сущ				22/Jan/2011						
424	bhɯ̀ɤ̄gblōogā	=bhüögblooga	[=bhüö' gbloo ga]				Artifact Object Instrument	KB	n	сущ				28/Jul/2008						
425	bhɯ́sɯ̏	'bhüsü	['bhü -sü]					LJ, DJ	adj	прил	<brillance-suff>			29/Jan/2009						
426	bhɯ́zʌ̏	'bhüzë	['bhü -zë]					LJ, DJ	adj	прил	<brillance-suff>			22/Jan/2011						
427	dȁ	-da				CV-AF			v	гл				23/Jan/2011						
428	dà	=da					KinTerm	LJ, SB	n	сущ				28/Nov/2008	mother.in.law	belle.mère	тёща			
429	dȁa	-daa			aa			LJ, OD	n	сущ				23/Jan/2011						
430	dāa	daa			aa		Natural Object Comestible	LJ	n	сущ				04/Sep/2000						
431	Dàādhɛ̏n	=Daandhɛ	[=Daan' -dhɛ]		a̰a̰			LJ	n	сущ				22/Jan/2011						
432	dàādhɛ̏n	=daandhɛ	[=daan' -dhɛ]					LJ	n	сущ				22/Aug/2007						
433	Dàān	=Daan'	[=Daan' -dhö]		a̰a̰			LJ	loc.n	лок.сущ				22/Jan/2011						
434	dàān	=daan'			a̰a̰			LJ	n	сущ				22/Jan/2011						
435	dàān	=daan'			a̰a̰	CVV-LNAF		EF	v	гл	<*teach>			22/Jan/2011						
436	dàān dhɔ́ɔ yī	=daan' 'dhɔɔ yi						LJ	n	сущ				26/Jan/2011						
437	dàānwȍ	=daanwo	[=daan' -wo]		a̰a̰			LJ	n	сущ				22/Jan/2011						
438	dáawō	'daawo	['daa wo]		aa		BoundedEvent Agentive Location Physical Purpose	MG, LJ	v	гл				22/Aug/2007						
439	dȁdhʌ́ɯ	-dadhëü	[-da 'dhëü]		ʌɯ		Human Time	LJ, DJ, GJ, SB	n	сущ				24/Jul/2008						
440	dȁdhʌ́ɯ	-dadhëü	[-da 'dhëü]		ʌɯ			GJ, LJ	adj	прил				10/Jan/2009						
441	dān	dan				CV-M		LJ	v	гл				22/Jan/2011						
442	dànsȅe	=dansee	[=dan =sei'-, =dan -sei]		ee ~ ei		Natural Object Comestible	DJ, LJ	n	сущ				22/Jan/2011						
443	dàŋdá	=dangda	[=dang 'da]			CV÷-CV		LJ	v	гл				22/Jan/2011						
444	dáŋdȁŋdáŋdhɤ̄	'dangdangdangdhö	['dang -dang 'dang dhö]					LJ	adv	нар				22/Jan/2011						
445	dȁplɤ̄ɤdhɛ̏	-daplöödhɛ	[-da plöö -dhɛ]					LJ, DJ, GJ	n	сущ				22/Aug/2007						
446	dȁsɔ̏	-dasɔ					Artifact Object Garment	DJ, LJ	n	сущ				14/Dec/2008						
447	dɒ̀ɒn	=daɔn			ɒ̰ɒ̰			LJ	n	сущ				22/Jan/2011						
448	dɒ̄ɒn	daɔn			ɒ̰ɒ̰			GA, MA, LJ, EF, OD	n	сущ	<*spider>			22/Jan/2011	spider	araignée	паук			
449	dɒ́ɒn	'daɔn			ɒ̰ɒ̰			LJ	n	сущ										
450	dʌ̄	dë					KinTerm	EF, LJ, MG, CE, OD	n	сущ	<*father-2>			22/Jan/2011	father	père	отец			
451	dʌ́ʌ̏	'dëë-			ʌʌ		Human	LP, LJ	n	сущ				30/Jan/2011						
452	dʌ̄bhɛ̄n	dëmɛ	[dë mɛ]				Human Occupation Social Condition	LJ	n	сущ				30/Jan/2011						
453	dʌ̄glúdhɛ̏	dëgludhɛ	[dë 'glu -dhɛ]					LJ	n	сущ				23/Jan/2011						
454	dʌ̄kpɔ́dʌ̏	dëkpɔdë	[dë 'kpɔ -dë]				KinTerm	DJ, LJ	n	сущ				07/Dec/2008						
455	dʌ̏ɯ	-dëü			ʌɯ			LJ	adj	прил	<*new-2>			10/Jan/2009						
456	dʌ̏ɯdʌ̏ɯ	-dëüdëü	[-dëü -dëü]		ʌɯ			MG, LJ, DJ	adv	нар				03/Oct/2008						
457	dʌ̏ɯdʌ̏ɯ	-dëüdëü	[-dëü -dëü]											06/Dec/2008				мн. ч. от	plural of	pluriel de
458	dʌ̏ɯwō	-dëüwo	[-dëü wo]		ʌɯ			DJ, OD, LJ	adv	нар				22/Aug/2007						
459	dȅ	-de						LJ	dtm	дтм				28/Nov/2008	self	même	сам			
460	dȅ	-de						BE, MG, LJ, GJ, SB	adv	нар				22/Jan/2011						
461	dȅ	-de						LJ, DJ	n	сущ				28/Nov/2008						
